statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
North Carolina,11,611030,352.88,381.03,411.53,461.24,1606.68
North Carolina,12,901890,388.29,383.64,397.75,447.12,1616.8
North Carolina,13,610711,356.84,313.04,337.07,334.4,1341.35
North Carolina,14,940161,297.74,334.44,349.43,326.57,1308.18
North Carolina,15,848190,260.92,289.53,338.55,298.87,1187.87
North Carolina,16,620520,208.46,346.58,293.7,279.74,1128.48
North Carolina,17,940360,253.11,265.78,281.29,278.82,1079
North Carolina,18,611596,232.3,236.55,246.97,267.36,983.18
North Carolina,19,848180,309,261.76,285.61,258.52,1114.89
North Carolina,20,620462,335.59,277.54,284.75,255.59,1153.47
North Carolina,21,854470,19.4,16.25,87.37,252.34,375.36
North Carolina,22,392690,262.75,251.77,226.06,249.74,990.32
North Carolina,23,440710,288.98,300.16,279.29,239.42,1107.85
North Carolina,24,940190,145.9,157.16,221.91,236.8,761.77
North Carolina,25,240120,361.07,227.85,234.53,236.47,1059.92
North Dakota,0,0,3601.21,3828.4,3137.34,2563.75,13130.7
North Dakota,0,25,1471.21,1536.46,1298.81,1211.45,5517.93
North Dakota,1,840890,30.47,137.13,182.55,144.77,494.92
North Dakota,2,711292,163.76,150.92,97.49,123.18,535.35
North Dakota,3,310210,126.83,95.84,128.36,111.53,462.56
North Dakota,4,281410,187.71,110.86,163.17,82.9,544.64
North Dakota,5,120510,198.79,283.16,105.29,69.46,656.7
North Dakota,6,870210,52.88,34.4,51.56,63.96,202.8
North Dakota,7,843149,33.71,43.58,39.1,59.03,175.42
North Dakota,8,284420,9.11,0,0,45.86,54.97
North Dakota,9,870790,45.47,51.62,41.67,39.09,177.85
North Dakota,10,841290,17.02,18.35,9.48,38.36,83.21
North Dakota,11,841229,47.42,45.33,35.48,36.25,164.48
North Dakota,12,840820,88.42,83.52,40.92,35.52,248.38
North Dakota,13,300490,0.12,1.06,26.79,33.74,61.71
North Dakota,14,440710,24.43,27.06,24.54,31.95,107.98
North Dakota,15,870840,69.77,49.06,27.86,30.25,176.94
North Dakota,16,842951,4.44,0.38,26.89,30.17,61.88
North Dakota,17,853710,34.99,27.05,28.63,28.82,119.49
North Dakota,18,850231,0,0.01,0,28.82,28.83
North Dakota,19,843139,12.93,14.42,22.94,28.25,78.54
North Dakota,20,271112,22.76,41.56,17.49,26.57,108.38
North Dakota,21,842890,23.5,23.02,19.66,25.93,92.11
North Dakota,22,843290,33.53,31.65,26.63,25.77,117.58
North Dakota,23,100119,44.93,63.97,48.45,24.83,182.18
North Dakota,24,120190,164.1,177.26,92.79,23.87,458.02
North Dakota,25,310420,34.13,25.27,41.04,22.57,123.01
Nebraska,0,0,3702.9,4054.67,4135.65,3556.5,15449.72
Nebraska,0,25,1190.66,1372.86,1457.05,1339.56,5360.13
Nebraska,1,293499,58.39,66.46,127.62,127.49,379.96
Nebraska,2,293410,0,0,96.43,109.99,206.42
Nebraska,3,10229,231.28,312.62,202.49,97.77,844.16
Nebraska,4,293359,0.12,17.81,74.77,96.45,189.15
Nebraska,5,840890,108.19,115.54,97.25,82.15,403.13
Nebraska,6,870120,52.29,81.21,132.63,81.39,347.52
Nebraska,7,950300,56.46,71.07,71.07,66.37,264.97
Nebraska,8,843390,151.47,126.45,112.09,64.86,454.87
Nebraska,9,300490,31.17,42.3,46.22,59.42,179.11
Nebraska,10,843359,69.95,66.54,47.41,57.14,241.04
Nebraska,11,350790,24.75,22.47,23.3,48.81,119.33
Nebraska,12,440710,47.08,53.77,46.55,48.58,195.98
Nebraska,13,230910,34.97,59.43,45.63,44.69,184.72
Nebraska,14,300420,41.63,39.6,34.47,42.38,158.08
Nebraska,15,300439,49.56,42.58,29.51,42.22,163.87
Nebraska,16,840733,29.62,32.06,33.87,31.84,127.39
Nebraska,17,294130,10.12,10.26,37.74,31.27,89.39
Nebraska,18,100490,64.54,71.37,42.1,31.14,209.15
Nebraska,19,292429,0.02,0.06,17.75,29.61,47.44
Nebraska,20,853321,33.62,34.2,27.1,28.42,123.34
Nebraska,21,401699,20.91,28.29,22.73,28.04,99.97
Nebraska,22,870990,28.22,25.02,26.45,27.06,106.75
Nebraska,23,81340,33.76,27.26,24.34,22.68,108.04
Nebraska,24,230641,4.66,15.94,21.22,20.88,62.7
Nebraska,25,360410,7.9,10.54,16.31,18.87,53.62
